Designator,Mid X,Mid Y,Rotation,Layer
R10,92.048602,-79.065202,90.0,top
R11,95.741001,-75.2818,180.0,top
R12,127.069799,-69.6492,270.0,top
R13,143.876798,-69.3224,270.0,top
R14,107.696,-83.8708,270.0,top
R17,126.8984,-107.823,270.0,top
R18,114.4524,-123.874,270.0,top
R19,113.2586,-123.8758,270.0,top
R2,98.1202,-85.3186,270.0,top
R20,111.9124,-123.8994,270.0,top
R21,110.7694,-123.8994,270.0,top
R22,109.4486,-123.9756,270.0,top
R23,108.3056,-123.9774,270.0,top
R24,107.0102,-124.001,270.0,top
R25,105.8672,-124.0282,270.0,top
R26,104.7242,-124.001,270.0,top
R27,101.193601,-124.0282,90.0,top
R28,107.6688,-111.6584,0.0,top
R29,104.3178,-121.7422,0.0,top
R3,127.954598,-76.581,270.0,top
R30,103.5812,-124.0282,270.0,top
R31,102.4382,-124.0282,270.0,top
R32,116.3574,-96.012,0.0,top
R33,99.3602,-101.2444,180.0,top
R34,99.3602,-100.0952,180.0,top
R35,140.4892,-94.949,270.0,top
R36,106.7834,-98.7844,270.0,top
R37,97.0788,-114.42085,270.0,top
R38,150.7744,-121.7676,270.0,top
R39,149.606,-121.742201,270.0,top
R4,93.064602,-81.173402,0.0,top
R40,148.0058,-121.666,270.0,top
R41,146.7612,-121.666,270.0,top
R42,145.224,-121.748399,270.0,top
R43,119.1768,-113.0046,90.0,top
R44,144.018,-121.7422,270.0,top
R45,121.0056,-113.0808,90.0,top
R47,88.391,-113.485201,270.0,top
R48,90.1954,-115.57,90.0,top
R49,90.2459,-118.9776,270.0,top
R5,139.2936,-81.4578,180.0,top
R50,90.2716,-121.105201,90.0,top
R51,89.7636,-122.7582,180.0,top
R52,166.023601,-85.5316,0.0,top
R53,154.023601,-84.2316,180.0,top
R54,168.7576,-85.7758,270.0,top
R56,170.8404,-88.265,90.0,top
R58,169.4032,-107.1953,90.0,top
R59,168.0062,-107.1445,90.0,top
R6,100.5822,-78.0542,0.0,top
R60,163.271099,-106.529497,180.0,top
R62,169.3164,-102.5398,90.0,top
R63,183.515,-103.5812,90.0,top
R65,163.2204,-108.205897,180.0,top
R67,168.3004,-99.568,90.0,top
R7,103.1748,-79.2226,0.0,top
R70,93.8484,-98.6982,180.0,top
R71,86.4616,-105.791,0.0,top
R72,173.3056,-96.7232,180.0,bottom
R73,177.0126,-98.3996,90.0,bottom
R74,175.0568,-100.0252,180.0,bottom
R77,189.738,-108.1278,0.0,top
R78,187.8584,-84.9884,0.0,top
R79,153.4548,-112.0648,180.0,top
R8,104.902,-79.6544,270.0,top
R80,151.9562,-110.4392,180.0,top
R81,150.483,-112.0902,180.0,top
R82,151.2316,-93.3704,90.0,top
R84,155.1432,-101.0666,0.0,top
R85,157.353,-103.3526,270.0,top
R86,154.3304,-97.4344,270.0,top
R87,157.4546,-95.7834,90.0,top
R88,158.1404,-101.092,0.0,top
R89,158.242,-98.0186,0.0,top
R9,95.9358,-85.852,180.0,top
RF4,189.5,-108.0,270.0,bottom
RF5,189.5,-85.0,270.0,bottom
SD1,83.2686,-118.1614,90.0,top
SW1,109.2218,-109.4016,180.0,top
TP1,107.2152,-103.4326,90.0,top
TP2,107.164401,-105.5408,90.0,top
TP3,182.887,-92.449,0.0,bottom
U1,96.0712,-81.4422,0.0,top
U10,193.7544,-125.2082,0.0,top
U12,196.7892,-125.2,0.0,top
U14,94.839,-100.6803,0.0,top
U17,166.7202,-96.4184,90.0,bottom
U18,180.0,-115.0,270.0,bottom
U19,170.0,-115.0,270.0,bottom
U2,91.6856,-84.201,270.0,top
U20,160.0,-115.0,270.0,bottom
U21,150.0,-115.0,270.0,bottom
U26,150.0,-80.0,90.0,bottom
U27,160.0,-80.0,90.0,bottom
U28,170.0,-80.0,90.0,bottom
U29,180.0,-80.0,90.0,bottom
U3,121.2772,-102.0532,0.0,top
U34,148.3868,-99.8982,0.0,top
U35,163.383,-99.0014,90.0,top
U4,138.6096,-101.1974,90.0,top
U5,109.5266,-99.4448,90.0,top
U6,95.6752,-109.114051,270.0,top
U7,160.147,-92.7946,0.0,top
U8,164.609,-91.44,270.0,top
U9,189.209399,-103.0155,0.0,top
USB1,85.5,-100.0,270.0,top
